"ID","CREATED_AT","UPDATED_AT","SLUG","NAME","RELATIVE_SIZE","CONTRACT_TYPE","REGION","WEBSITE","ERROR"
"52701a26c9dc24ab6400025b","2013-10-29 20:27:18.0","2015-09-10 12:27:42.0","whitespace-gallery","Whitespace Gallery","4","Fair","North America","http://www.whitespace814.com","Admin Account ID: more than one record found for external id field: [001C000001EWhWlIAL, 001C0000018gxyZIAQ]"
"52864add9c18db9eae0006ce","2013-11-15 16:25:01.0","2015-09-10 12:32:53.0","david-castillo-gallery","David Castillo Gallery","3","Fair","North America","http://www.davidcastillogallery.com","Admin Account ID: more than one record found for external id field: [001C000001HfE1IIAV, 001C0000019ffQ9IAI]"
"51d79a258b3b81aacd0000dd","2013-07-06 04:16:37.0","2015-08-19 18:04:34.0","hiromi-yoshii-gallery","Hiromi Yoshii Gallery","4","Fair","Asia","http://www.hiromiyoshii.com","Admin Account ID: more than one record found for external id field: [001C000001EWhf4IAD, 001C000001JTzOMIA1]"
"52b0d06e139b21e5ce000088","2013-12-17 22:30:06.0","2015-09-10 18:36:13.0","mark-borghi-fine-art","Mark Borghi Fine Art","3","Subscription","North America","http://www.borghi.org","Admin Account ID: more than one record found for external id field: [001C000001FkTp9IAF, 001C0000019hSVpIAM]"
"530cd9567622dd393800007b","2014-02-25 17:56:38.0","2015-09-10 12:36:59.0","china-institute-gallery","China Institute Gallery","2","General","North America","http://www.chinainstitute.org/gallery","Admin Account ID: more than one record found for external id field: [001C000001DPMWjIAP, 001C000001L3U3SIAV]"
"53ea6ae6776f72507a010000","2014-08-12 19:28:38.0","2015-09-10 13:59:05.0","gallery-21","Gallery 21","4","Fair","Europe","http://www.gallery-21.ru","Admin Account ID: more than one record found for external id field: [001C000001JT2EyIAL, 001C000001FoFqpIAF]"
"50776cfefdab6100020001e6","2012-10-12 01:06:06.0","2015-09-10 16:40:51.0","andersens-contemporary","Andersen's Contemporary","1a","Subscription","Europe","http://www.andersenscontemporary.dk/index.asp","Admin Account ID: more than one record found for external id field: [001C000001HfFSKIA3, 001C0000019hxd0IAA]"
"50abcb2f25e77810fd00002b","2012-11-20 18:25:51.0","2015-09-11 02:00:57.0","michael-rosenfeld-gallery","Michael Rosenfeld Gallery","3","Subscription","North America","http://www.michaelrosenfeldart.com","Admin Account ID: more than one record found for external id field: [001C000001DRDINIA5, 001C000001JX8GBIA1]"
"52fd03c8139b21aaf900081f","2014-02-13 17:41:29.0","2015-09-10 12:39:33.0","james-gallery","James Gallery","3","Fair","Europe","http://www.james-paris.com","Admin Account ID: more than one record found for external id field: [001C000001EY0XQIA1, 001C000001HevjTIAR]"
"54871e2d776f726921310300","2014-12-09 16:07:09.0","2015-09-10 16:42:54.0","tristan-hoare","Tristan Hoare","4","Fair","","www.tristanhoaregallery.co.uk","Admin Account ID: more than one record found for external id field: [001C000001PaefZIAR, 001C000001L2UF1IAN]"
"52266faaebad64d4a6000330","2013-09-03 23:24:26.0","2015-09-10 12:29:22.0","lmak-projects","LMAK Projects","4","Subscription","North America","http://lmakprojects.com","Admin Account ID: more than one record found for external id field: [001C000001HevifIAB, 001C000001Fkx9OIAR]"
"544a62cd7261695366950400","2014-10-24 14:31:41.0","2015-09-10 16:40:59.0","foam-fotografiemuseum-amsterdam","Foam Fotografiemuseum Amsterdam","1b","General","Europe","http://www.foam.org/","Admin Account ID: more than one record found for external id field: [001C000001JVurmIAD, 001C000001MixtMIAR]"
"54b41220776f720e458e0700","2015-01-12 18:27:44.0","2015-09-08 20:08:51.0","timothy-yarger-fine-art","Timothy Yarger Fine Art","4","Fair","","www.yargerfineart.com","Admin Account ID: more than one record found for external id field: [001C000001Nw1xqIAB, 001C000001FlD0JIAV]"
"528e419b9c18dbe25e000011","2013-11-21 17:23:40.0","2015-09-10 12:33:43.0","hausler-contemporary","Häusler Contemporary","3","Subscription","Europe","http://www.haeusler-contemporary.com","Admin Account ID: more than one record found for external id field: [001C000001EY04wIAD, 001C000001EaMIAIA3]"
"50abcb3125e77810fd000041","2012-11-20 18:25:53.0","2015-09-10 12:35:18.0","repetto-gallery","Repetto Gallery","3","Subscription","Europe","http://www.repettogallery.com/","Admin Account ID: more than one record found for external id field: [001C000001FnxvpIAB, 001C000001EWhXoIAL]"
"4f8fd0d3dcde830001000c0e","2012-04-19 08:46:11.0","2015-09-10 12:38:14.0","rokeby-gallery","Rokeby Gallery","3","Subscription","Europe","http://rokebygallery.com","Admin Account ID: more than one record found for external id field: [001C0000013MU2WIAW, 001C000000zqGXqIAM]"
"51deb738275b245ec1000363","2013-07-11 13:46:32.0","2015-09-10 12:39:30.0","artis","Artis","2","General","North America","http://www.artiscontemporary.org/","Admin Account ID: more than one record found for external id field: [001C0000017F8KiIAK, 001C0000018fFW9IAM]"
"5436ccc972616953f8f40f00","2014-10-09 17:58:33.0","2015-09-10 14:29:34.0","stedelijk-museum-amsterdam","Stedelijk Museum Amsterdam","1a","General","Europe","http://www.stedelijk.nl/en","Admin Account ID: more than one record found for external id field: [001C000001HgZKNIA3, 001C000001JVuu2IAD]"
"54b40a34776f720e45950500","2015-01-12 17:53:56.0","2015-09-10 12:41:46.0","addison-rowe-gallery","Addison Rowe Gallery","4","Subscription","","addisonrowe.com","Admin Account ID: more than one record found for external id field: [001C000001EWma2IAD, 001C000001L3xLaIAJ]"
"52d6e364ebad647dd9000972","2014-01-15 19:37:08.0","2015-09-10 16:23:03.0","spazioa","SpazioA ","3","Fair","","http://www.spazioa.it/","Admin Account ID: more than one record found for external id field: [001C000001JT3OTIA1, 001C000001Nw0J7IAJ]"
"52533816ebad64dcac000067","2013-10-07 22:39:18.0","2015-09-10 12:36:26.0","espacio-minimo","Espacio Mínimo","4","Fair","Europe","http://www.espaciominimo.es","Admin Account ID: more than one record found for external id field: [001C000001HfOLqIAN, 001C000001HgHVPIA3]"
"4df4bdaf7d0d750001003aad","2011-06-12 13:22:55.0","2015-09-10 16:30:11.0","galerie-rodolphe-janssen","Galerie Rodolphe Janssen","2","Fair","Europe","http://www.galerierodolphejanssen.com","Admin Account ID: more than one record found for external id field: [001C00000128DFrIAM, 001C0000013MU2bIAG]"
"55301e76776f723603140000","2015-04-16 20:41:27.0","2015-09-08 20:09:07.0","albareh-contemporary","Albareh Contemporary","4","Fair","","http://www.albareh.com","Admin Account ID: more than one record found for external id field: [001C000001NzK2hIAF, 001C000001EXxXEIA1]"
"52aa0b9b9c18dba41800020f","2013-12-12 19:16:43.0","2015-08-19 18:04:19.0","kraushaar-galleries","Kraushaar Galleries","3","Fair","North America","http://kraushaargalleries.com/","Admin Account ID: more than one record found for external id field: [001C000001EWsgGIAT, 001C0000019hKRZIA2]"
"4ea744db8eb600000100a5ad","2011-10-25 23:23:07.0","2015-09-10 12:38:01.0","mihai-nicodim-gallery","Mihai Nicodim Gallery","4","Fair","North America","http://nicodimgallery.com","Admin Account ID: more than one record found for external id field: [001C0000013MU2TIAW, 001C000000vrQYGIA2]"
"53ee0f0b726169491f780200","2014-08-15 13:45:47.0","2015-09-10 16:42:15.0","galeri-nev-1","Galeri Nev","3","Fair","Africa & Middle East","http://www.galerinev.com/en/hakkimizda","Admin Account ID: more than one record found for external id field: [001C000001JTfBiIAL, 001C000001Fm6t0IAB]"
"50abcb3025e77810fd000037","2012-11-20 18:25:52.0","2015-09-10 12:34:40.0","hackett-mill","Hackett | Mill","3","Fair","North America","http://hackettmill.com","Admin Account ID: more than one record found for external id field: [001C000001HfE1GIAV, 001C000001F5LUMIA3]"
"551995987261692ae2a40300","2015-03-30 18:27:36.0","2015-09-10 00:44:28.0","koninklijk-royal-museum-of-fine-arts","Koninklijk Royal Museum of Fine Arts","1b","General","Europe","http://www.kmska.be/","Admin Account ID: more than one record found for external id field: [001C000001MjLjhIAF, 001C000001MjLn5IAF]"
